Logische Periode ; Endzeitstempel ; Wert ; Status ; Tarif 
02.01.2017;07:45:00;60;W;T0 
02.01.2017;08:00:00;110;W;T0 
02.01.2017;08:15:00;85;W;T0 
02.01.2017;08:30:00;112,5;W;T0 
02.01.2017;08:45:00;125;W;T0 
02.01.2017;09:00:00;17,5;W;T0 
02.01.2017;09:15:00;207,5;W;T0 
02.01.2017;09:30:00;307,5;W;T0 
02.01.2017;09:45:00;155;W;T0 
02.01.2017;10:00:00;157,5;W;T0 
02.01.2017;10:15:00;105;W;T0 
02.01.2017;10:30:00;155;W;T0 
02.01.2017;10:45:00;195;W;T0 
02.01.2017;11:00:00;212,5;W;T0 
02.01.2017;11:15:00;322,5;W;T0 
02.01.2017;11:30:00;262,5;W;T0 
02.01.2017;11:45:00;260;W;T0 
02.01.2017;12:00:00;172,5;W;T0 
02.01.2017;12:15:00;120;W;T0 
02.01.2017;12:30:00;65;W;T0 
02.01.2017;12:45:00;85;W;T0 
02.01.2017;13:00:00;92,5;W;T0 
02.01.2017;13:15:00;152,5;W;T0 
02.01.2017;13:30:00;272,5;W;T0 
02.01.2017;13:45:00;290;W;T0 
02.01.2017;14:00:00;277,5;W;T0 
02.01.2017;14:15:00;382,5;W;T0 
02.01.2017;14:30:00;337,5;W;T0 
02.01.2017;14:45:00;370;W;T0 
02.01.2017;15:00:00;315;W;T0 
02.01.2017;15:15:00;250;W;T0 
02.01.2017;15:30:00;200;W;T0 
02.01.2017;15:45:00;375;W;T0 
02.01.2017;16:00:00;427,5;W;T0 
02.01.2017;16:15:00;352,5;W;T0 
02.01.2017;16:30:00;287,5;W;T0 
02.01.2017;16:45:00;350;W;T0 
02.01.2017;17:00:00;345;W;T0 
02.01.2017;17:15:00;247,5;W;T0 
02.01.2017;17:30:00;187,5;W;T0 
02.01.2017;17:45:00;242,5;W;T0 
02.01.2017;18:00:00;125;W;T0 
02.01.2017;18:15:00;140;W;T0 
02.01.2017;18:30:00;297,5;W;T0 
02.01.2017;18:45:00;220;W;T0 
02.01.2017;19:00:00;270;W;T0 
02.01.2017;19:15:00;410;W;T0 
02.01.2017;19:30:00;510;W;T0 
02.01.2017;19:45:00;575;W;T0 
02.01.2017;20:00:00;537,5;W;T0 
02.01.2017;20:15:00;580;W;T0 
02.01.2017;20:30:00;765;W;T0 
02.01.2017;20:45:00;740;W;T0 
02.01.2017;21:00:00;617,5;W;T0 
02.01.2017;21:15:00;587,5;W;T0 
02.01.2017;21:30:00;470;W;T0 
02.01.2017;21:45:00;482,5;W;T0 
02.01.2017;22:00:00;410;W;T0 
02.01.2017;22:15:00;195;W;T0 
02.01.2017;22:30:00;165;W;T0 
02.01.2017;22:45:00;142,5;W;T0 
02.01.2017;23:00:00;100;W;T0 
02.01.2017;23:15:00;187,5;W;T0 
02.01.2017;23:30:00;342,5;W;T0 
02.01.2017;23:45:00;132,5;W;T0 
03.01.2017;00:00:00;255;W;T0 
03.01.2017;00:15:00;350;W;T0 
03.01.2017;00:30:00;325;W;T0 
03.01.2017;00:45:00;282,5;W;T0 
03.01.2017;01:00:00;177,5;W;T0 
03.01.2017;01:15:00;135;W;T0 
03.01.2017;01:30:00;157,5;W;T0 
03.01.2017;01:45:00;90;W;T0 
03.01.2017;02:00:00;175;W;T0 
03.01.2017;02:15:00;250;W;T0 
03.01.2017;02:30:00;172,5;W;T0 
03.01.2017;02:45:00;177,5;W;T0 
03.01.2017;03:00:00;217,5;W;T0 
03.01.2017;03:15:00;562,5;W;T0 
03.01.2017;03:30:00;742,5;W;T0 
03.01.2017;03:45:00;410;W;T0 
03.01.2017;04:00:00;437,5;W;T0 
03.01.2017;04:15:00;547,5;W;T0 
03.01.2017;04:30:00;610;W;T0 
03.01.2017;04:45:00;540;W;T0 
03.01.2017;05:00:00;615;W;T0 
03.01.2017;05:15:00;822,5;W;T0 
03.01.2017;05:30:00;902,5;W;T0 
03.01.2017;05:45:00;837,5;W;T0 
03.01.2017;06:00:00;910;W;T0 
03.01.2017;06:15:00;940;W;T0 
03.01.2017;06:30:00;867,5;W;T0 
03.01.2017;06:45:00;940;W;T0 
03.01.2017;07:00:00;1.042,50;W;T0 
03.01.2017;07:15:00;1.112,50;W;T0 
03.01.2017;07:30:00;907,5;W;T0 
03.01.2017;07:45:00;935;W;T0 
03.01.2017;08:00:00;972,5;W;T0 
03.01.2017;08:15:00;882,5;W;T0 
03.01.2017;08:30:00;835;W;T0 
03.01.2017;08:45:00;670;W;T0 
03.01.2017;09:00:00;635;W;T0 
03.01.2017;09:15:00;487,5;W;T0 
03.01.2017;09:30:00;455;W;T0 
03.01.2017;09:45:00;562,5;W;T0 
03.01.2017;10:00:00;687,5;W;T0 
03.01.2017;10:15:00;810;W;T0 
03.01.2017;10:30:00;930;W;T0 
03.01.2017;10:45:00;967,5;W;T0 
03.01.2017;11:00:00;1.020,00;W;T0 
03.01.2017;11:15:00;977,5;W;T0 
03.01.2017;11:30:00;1.172,50;W;T0 
03.01.2017;11:45:00;1.180,00;W;T0 
03.01.2017;12:00:00;1.065,00;W;T0 
03.01.2017;12:15:00;1.160,00;W;T0 
03.01.2017;12:30:00;1.100,00;W;T0 
03.01.2017;12:45:00;1.172,50;W;T0 
03.01.2017;13:00:00;1.202,50;W;T0 
03.01.2017;13:15:00;1.172,50;W;T0 
03.01.2017;13:30:00;1.250,00;W;T0 
03.01.2017;13:45:00;1.207,50;W;T0 
03.01.2017;14:00:00;1.290,00;W;T0 
03.01.2017;14:15:00;1.280,00;W;T0 
03.01.2017;14:30:00;1.335,00;W;T0 
03.01.2017;14:45:00;1.405,00;W;T0 
03.01.2017;15:00:00;1.400,00;W;T0 
03.01.2017;15:15:00;1.315,00;W;T0 
03.01.2017;15:30:00;1.220,00;W;T0 
03.01.2017;15:45:00;1.245,00;W;T0 
03.01.2017;16:00:00;1.285,00;W;T0 
03.01.2017;16:15:00;1.285,00;W;T0 
03.01.2017;16:30:00;1.150,00;W;T0 
03.01.2017;16:45:00;1.190,00;W;T0 
03.01.2017;17:00:00;1.097,50;W;T0 
03.01.2017;17:15:00;1.002,50;W;T0 
03.01.2017;17:30:00;967,5;W;T0 
03.01.2017;17:45:00;912,5;W;T0 
03.01.2017;18:00:00;882,5;W;T0 
03.01.2017;18:15:00;932,5;W;T0 
03.01.2017;18:30:00;1.005,00;W;T0 
03.01.2017;18:45:00;1.220,00;W;T0 
03.01.2017;19:00:00;1.105,00;W;T0 
03.01.2017;19:15:00;915;W;T0 
03.01.2017;19:30:00;927,5;W;T0 
03.01.2017;19:45:00;932,5;W;T0 
03.01.2017;20:00:00;837,5;W;T0 
03.01.2017;20:15:00;927,5;W;T0 
03.01.2017;20:30:00;965;W;T0 
03.01.2017;20:45:00;917,5;W;T0 
03.01.2017;21:00:00;907,5;W;T0 
03.01.2017;21:15:00;1.005,00;W;T0 
03.01.2017;21:30:00;955;W;T0 
03.01.2017;21:45:00;992,5;W;T0 
03.01.2017;22:00:00;975;W;T0 
03.01.2017;22:15:00;1.060,00;W;T0 
03.01.2017;22:30:00;1.072,50;W;T0 
03.01.2017;22:45:00;932,5;W;T0 
03.01.2017;23:00:00;922,5;W;T0 
03.01.2017;23:15:00;772,5;W;T0 
03.01.2017;23:30:00;742,5;W;T0 
03.01.2017;23:45:00;815;W;T0 
04.01.2017;00:00:00;890;W;T0 
04.01.2017;00:15:00;807,5;W;T0 
04.01.2017;00:30:00;770;W;T0 
04.01.2017;00:45:00;767,5;W;T0 
04.01.2017;01:00:00;772,5;W;T0 
04.01.2017;01:15:00;857,5;W;T0 
04.01.2017;01:30:00;667,5;W;T0 
04.01.2017;01:45:00;712,5;W;T0 
04.01.2017;02:00:00;727,5;W;T0 
04.01.2017;02:15:00;837,5;W;T0 
04.01.2017;02:30:00;1.315,00;W;T0 
04.01.2017;02:45:00;1.472,50;W;T0 
04.01.2017;03:00:00;1.477,50;W;T0 
04.01.2017;03:15:00;1.472,50;W;T0 
04.01.2017;03:30:00;1.480,00;W;T0 
04.01.2017;03:45:00;1.477,50;W;T0 
04.01.2017;04:00:00;1.487,50;W;T0 
04.01.2017;04:15:00;1.485,00;W;T0 
04.01.2017;04:30:00;1.485,00;W;T0 
04.01.2017;04:45:00;1.485,00;W;T0 
04.01.2017;05:00:00;1.490,00;W;T0 
04.01.2017;05:15:00;1.490,00;W;T0 
04.01.2017;05:30:00;1.485,00;W;T0 
04.01.2017;05:45:00;1.487,50;W;T0 
04.01.2017;06:00:00;1.477,50;W;T0 
04.01.2017;06:15:00;1.490,00;W;T0 
04.01.2017;06:30:00;1.480,00;W;T0 
04.01.2017;06:45:00;1.482,50;W;T0 
04.01.2017;07:00:00;1.442,50;W;T0 
04.01.2017;07:15:00;1.300,00;W;T0 
